"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084292, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084293, LBL: West2)","Water Content, m³/m³ (SEN S/N: 20084294, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20084295, LBL: East2)"
19-03-16 09:52:37.0,0.1071,0.1281,0.4659,0.1259
19-03-16 10:02:37.0,0.1092,0.1281,0.3925,0.1259
19-03-16 10:12:37.0,0.1100,0.1274,0.3903,0.1274
19-03-16 10:22:37.0,0.1107,0.1281,0.3911,0.1267
19-03-16 10:32:37.0,0.1114,0.1303,0.3881,0.1274
19-03-16 10:42:37.0,0.1114,0.1288,0.3889,0.1274
19-03-16 10:52:37.0,0.1121,0.1296,0.3925,0.1281
19-03-16 11:02:37.0,0.1129,0.1296,0.3911,0.1281
19-03-16 11:12:37.0,0.1114,0.1310,0.3940,0.1296
19-03-16 11:22:37.0,0.1114,0.1288,0.3961,0.1318
19-03-16 11:32:37.0,0.1121,0.1296,0.3990,0.1318
19-03-16 11:42:37.0,0.1129,0.1296,0.3998,0.1318
19-03-16 11:52:37.0,0.1136,0.1296,0.3998,0.1325
19-03-16 12:02:37.0,0.1143,0.1310,0.3969,0.1325
19-03-16 12:12:37.0,0.1150,0.1296,0.3874,0.1325
19-03-16 12:22:37.0,0.1143,0.1296,0.3540,0.1332
19-03-16 12:32:37.0,0.1150,0.1318,0.3090,0.1332
19-03-16 12:42:37.0,0.1158,0.1325,0.2886,0.1332
19-03-16 12:52:37.0,0.1158,0.1325,0.3351,0.1332
19-03-16 13:02:37.0,0.1194,0.1325,0.3046,0.1339
19-03-16 13:12:37.0,0.1194,0.1332,0.2915,0.1339
19-03-16 13:22:37.0,0.1201,0.1332,0.2683,0.1332
19-03-16 13:32:37.0,0.1201,0.1332,0.3075,0.1339
19-03-16 13:42:37.0,0.1172,0.1332,0.3322,0.1339
19-03-16 13:52:37.0,0.1172,0.1332,0.2872,0.1339
19-03-16 14:02:37.0,0.1216,0.1318,0.1877,0.1325
19-03-16 14:12:37.0,0.1223,0.1310,0.1790,0.1325
19-03-16 14:22:37.0,0.1216,0.1303,0.2966,0.1310
19-03-16 14:32:37.0,0.1216,0.1310,0.2944,0.1310
19-03-16 14:42:37.0,0.1216,0.1303,0.1681,0.1303
19-03-16 14:52:37.0,0.1194,0.1310,0.3591,0.1296
19-03-16 15:02:37.0,0.1209,0.1288,0.3518,0.1281
19-03-16 15:12:37.0,0.1209,0.1281,0.3489,0.1296
19-03-16 15:22:37.0,0.1209,0.1288,0.3475,0.1288
19-03-16 15:32:37.0,0.1209,0.1281,0.3453,0.1288
19-03-16 15:42:37.0,0.1201,0.1267,0.3409,0.1259
19-03-16 15:52:37.0,0.1201,0.1267,0.3373,0.1267
19-03-16 16:02:37.0,0.1201,0.1267,0.3293,0.1281
19-03-16 16:12:37.0,0.1150,0.1267,0.3191,0.1267
19-03-16 16:22:37.0,0.1143,0.1259,0.3090,0.1267
19-03-16 16:32:37.0,0.1136,0.1252,0.2196,0.1259
19-03-16 16:42:37.0,0.1172,0.1281,0.0824,0.1223
19-03-16 16:52:37.0,0.1158,0.1274,0.0816,0.1230
19-03-16 17:02:37.0,0.1150,0.1267,0.0816,0.1209
19-03-16 17:12:37.0,0.1150,0.1267,0.0816,0.1209
19-03-16 17:22:37.0,0.1158,0.1267,0.0809,0.1201
19-03-16 17:32:37.0,0.1150,0.1267,0.0802,0.1194
19-03-16 17:42:37.0,0.1143,0.1259,0.0795,0.1194
19-03-16 17:52:37.0,0.1143,0.1252,0.0787,0.1194
19-03-16 18:02:37.0,0.1129,0.1252,0.0795,0.1194
19-03-16 18:12:37.0,0.1136,0.1252,0.0795,0.1187
19-03-16 18:22:37.0,0.1121,0.1245,0.0795,0.1187
19-03-16 18:32:37.0,0.1121,0.1245,0.0787,0.1187
19-03-16 18:42:37.0,0.1121,0.1245,0.0787,0.1180
19-03-16 18:52:37.0,0.1121,0.1245,0.0787,0.1180
19-03-16 19:02:37.0,0.1114,0.1245,0.0773,0.1180
19-03-16 19:12:37.0,0.1114,0.1238,0.0780,0.1172
19-03-16 19:22:37.0,0.1114,0.1230,0.0773,0.1180
19-03-16 19:32:37.0,0.1107,0.1238,0.0773,0.1180
19-03-16 19:42:37.0,0.1107,0.1230,0.0758,0.1180
19-03-16 19:52:37.0,0.1100,0.1230,0.0758,0.1172
19-03-16 20:02:37.0,0.1100,0.1223,0.0758,0.1172
19-03-16 20:12:37.0,0.1107,0.1223,0.0773,0.1165
19-03-16 20:22:37.0,0.1100,0.1223,0.0758,0.1172
19-03-16 20:32:37.0,0.1100,0.1223,0.0758,0.1172
19-03-16 20:42:37.0,0.1100,0.1223,0.0751,0.1165
19-03-16 20:52:37.0,0.1100,0.1223,0.0751,0.1165
19-03-16 21:02:37.0,0.1092,0.1223,0.0751,0.1158
19-03-16 21:12:37.0,0.1092,0.1223,0.0751,0.1158
19-03-16 21:22:37.0,0.1100,0.1223,0.0758,0.1158
19-03-16 21:32:37.0,0.1092,0.1223,0.0744,0.1158
19-03-16 21:42:37.0,0.1092,0.1216,0.0751,0.1158
19-03-16 21:52:37.0,0.1092,0.1216,0.0744,0.1158
19-03-16 22:02:37.0,0.1085,0.1216,0.0744,0.1150
19-03-16 22:12:37.0,0.1085,0.1209,0.0751,0.1158
19-03-16 22:22:37.0,0.1085,0.1216,0.0744,0.1150
19-03-16 22:32:37.0,0.1085,0.1209,0.0736,0.1158
19-03-16 22:42:37.0,0.1085,0.1209,0.0744,0.1150
19-03-16 22:52:37.0,0.1078,0.1209,0.0729,0.1158
19-03-16 23:02:37.0,0.1078,0.1209,0.0729,0.1150
19-03-16 23:12:37.0,0.1078,0.1201,0.0736,0.1150
19-03-16 23:22:37.0,0.1078,0.1209,0.0729,0.1143
19-03-16 23:32:37.0,0.1071,0.1201,0.0729,0.1150
19-03-16 23:42:37.0,0.1071,0.1201,0.0722,0.1150
19-03-16 23:52:37.0,0.1071,0.1201,0.0729,0.1150
19-03-17 00:02:37.0,0.1071,0.1201,0.0729,0.1150
19-03-17 00:12:37.0,0.1078,0.1194,0.0729,0.1143
19-03-17 00:22:37.0,0.1063,0.1194,0.0729,0.1150
19-03-17 00:32:37.0,0.1063,0.1194,0.0729,0.1150
19-03-17 00:42:37.0,0.1071,0.1201,0.0736,0.1158
19-03-17 00:52:37.0,0.1056,0.1194,0.0722,0.1150
19-03-17 01:02:37.0,0.1063,0.1194,0.0722,0.1150
19-03-17 01:12:37.0,0.1056,0.1194,0.0715,0.1150
19-03-17 01:22:37.0,0.1063,0.1194,0.0736,0.1158
19-03-17 01:32:37.0,0.1056,0.1194,0.0722,0.1143
19-03-17 01:42:37.0,0.1063,0.1187,0.0729,0.1158
19-03-17 01:52:37.0,0.1063,0.1194,0.0736,0.1158
19-03-17 02:02:37.0,0.1063,0.1194,0.0715,0.1150
19-03-17 02:12:37.0,0.1063,0.1187,0.0715,0.1150
19-03-17 02:22:37.0,0.1056,0.1187,0.0715,0.1143
19-03-17 02:32:37.0,0.1056,0.1187,0.0715,0.1143
19-03-17 02:42:37.0,0.1063,0.1187,0.0715,0.1143
19-03-17 02:52:37.0,0.1056,0.1187,0.0715,0.1143
19-03-17 03:02:37.0,0.1056,0.1187,0.0707,0.1143
19-03-17 03:12:37.0,0.1056,0.1187,0.0722,0.1158
19-03-17 03:22:37.0,0.1049,0.1187,0.0707,0.1143
19-03-17 03:32:37.0,0.1049,0.1180,0.0707,0.1143
19-03-17 03:42:37.0,0.1056,0.1180,0.0722,0.1158
19-03-17 03:52:37.0,0.1049,0.1187,0.0722,0.1150
19-03-17 04:02:37.0,0.1049,0.1187,0.0715,0.1136
19-03-17 04:12:37.0,0.1049,0.1180,0.0707,0.1143
19-03-17 04:22:37.0,0.1042,0.1180,0.0700,0.1136
19-03-17 04:32:37.0,0.1049,0.1180,0.0700,0.1143
19-03-17 04:42:37.0,0.1049,0.1172,0.0700,0.1136
19-03-17 04:52:37.0,0.1042,0.1180,0.0715,0.1150
19-03-17 05:02:37.0,0.1049,0.1180,0.0700,0.1129
19-03-17 05:12:37.0,0.1049,0.1172,0.0700,0.1129
19-03-17 05:22:37.0,0.1049,0.1172,0.0693,0.1136
19-03-17 05:32:37.0,0.1042,0.1180,0.0707,0.1143
19-03-17 05:42:37.0,0.1042,0.1172,0.0686,0.1136
19-03-17 05:52:37.0,0.1049,0.1172,0.0693,0.1129
19-03-17 06:02:37.0,0.1049,0.1180,0.0693,0.1129
19-03-17 06:12:37.0,0.1042,0.1180,0.0707,0.1150
19-03-17 06:22:37.0,0.1042,0.1172,0.0693,0.1129
19-03-17 06:32:37.0,0.1042,0.1180,0.0686,0.1136
19-03-17 06:42:37.0,0.1042,0.1172,0.0678,0.1129
19-03-17 06:52:37.0,0.1042,0.1172,0.0686,0.1129
19-03-17 07:02:37.0,0.1042,0.1172,0.0686,0.1129
19-03-17 07:12:37.0,0.1042,0.1172,0.0678,0.1136
19-03-17 07:22:37.0,0.1042,0.1180,0.0686,0.1121
19-03-17 07:32:37.0,0.1042,0.1172,0.0678,0.1136
19-03-17 07:42:37.0,0.1042,0.1180,0.0686,0.1129
19-03-17 07:52:37.0,0.1042,0.1180,0.0700,0.1150
19-03-17 08:02:37.0,0.1049,0.1180,0.0686,0.1136
19-03-17 08:12:37.0,0.1049,0.1180,0.0693,0.1143
19-03-17 08:22:37.0,0.1049,0.1187,0.0693,0.1136
19-03-17 08:32:37.0,0.1049,0.1194,0.0700,0.1129
19-03-17 08:42:37.0,0.1056,0.1194,0.0700,0.1136
19-03-17 08:52:37.0,0.1071,0.1201,0.0715,0.1150
19-03-17 09:02:37.0,0.1071,0.1209,0.0707,0.1143
